epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.397994,1.08723,3.68558,1.02859,0.00333,1,0.07549,0.05647,0.75566,3.20987,0.9323,0.1,0,0
2,0.598589,1.16722,3.68636,1.18259,0.00333,1,0.05556,0.04058,0.76235,3.20737,0.93325,0.0990099,9.901e-06,9.901e-06
3,0.808229,1.29082,3.6372,1.13139,0.00333,1,0.05831,0.04083,0.76523,3.20476,0.9327,0.0980196,1.9604e-05,1.9604e-05
4,0.981363,1.16403,3.46113,1.14369,0.00333,1,0.0637,0.04428,0.75955,3.20748,0.94046,0.0970291,2.9109e-05,2.9109e-05
5,1.15697,1.07247,3.2931,1.04881,0.00333,1,0.06477,0.04602,0.75387,3.20556,0.93272,0.0960384,3.8416e-05,3.8416e-05
6,1.37276,1.2298,3.36557,1.09187,0.00333,1,0.30406,0.28902,0.42053,3.02373,0.78579,0.0950475,4.7525e-05,4.7525e-05
7,1.58945,1.11391,3.2284,1.10156,0.00333,1,0.68346,0.61242,0.47541,2.96762,0.78625,0.0940564,5.6436e-05,5.6436e-05
8,1.80451,0.62542,2.87129,0.87054,0.00333,1,0.77203,0.71402,0.52287,2.97866,0.83848,0.0930651,6.5149e-05,6.5149e-05
9,2.01899,0.5531,2.66072,0.8308,0.00333,1,0.82536,0.66882,0.58773,3.02262,0.91808,0.0920737,7.3664e-05,7.3664e-05
10,2.23346,0.58146,2.68622,0.90957,0.00333,1,0.895,0.67609,0.69012,3.08323,1.06675,0.091082,8.1981e-05,8.1981e-05
11,2.44313,0.62512,2.17153,0.86521,0.00333,1,0.91167,0.60207,0.79537,3.13201,1.20607,0.0900901,9.01e-05,9.01e-05
12,2.65223,0.54393,2.0648,0.81688,0.00333,1,0.68667,0.31484,0.99427,3.23375,1.20797,0.089098,9.8021e-05,9.8021e-05
13,2.85924,0.39294,1.84485,0.88416,0.00333,1,0.49661,0.19558,1.37143,3.2717,1.49924,0.0881057,0.000105744,0.000105744
14,3.06697,0.50168,1.32623,0.8108,0.00333,1,0.20811,0.07362,1.62786,3.56055,1.62458,0.0871133,0.000113269,0.000113269
15,3.27353,0.51414,1.3541,0.86643,0.00333,1,0.10591,0.04371,1.61861,3.96323,1.71535,0.0861206,0.000120596,0.000120596
16,3.48029,0.53827,1.04158,0.85287,0.00333,1,0.2083,0.08406,1.76959,4.15439,1.73057,0.0851277,0.000127725,0.000127725
17,3.68693,0.41688,1.16947,0.82349,0.00333,1,0.29733,0.10545,2.11782,3.75401,1.83602,0.0841347,0.000134656,0.000134656
18,3.88706,0.42616,0.99012,0.88174,0.00333,1,0.29733,0.10545,2.11782,3.75401,1.83602,0.0831414,0.000141389,0.000141389
1,1.39082,0.94997,2.97759,1.02013,0.00422,0.97436,0.55213,0.45273,0.66695,2.90023,0.95662,0.08911,0.00011,0.00011
2,2.46647,0.58422,1.09513,0.84351,0.00418,0.41026,0.13453,0.06463,0.7835,3.53854,1.06963,0.0772277,0.000227723,0.000227723
3,3.4719,0.4825,0.73591,0.85414,0.07018,0.05128,0.04469,0.0371,0.66806,4.02631,1.00247,0.0653431,0.00034307,0.00034307
4,4.47622,0.41355,0.57681,0.85184,0.29452,0.55128,0.42847,0.3809,0.57075,3.73803,0.91966,0.053456,0.000456041,0.000456041
5,5.47561,0.42786,0.50984,0.85955,1,0.57472,0.91769,0.85419,0.49566,2.10772,0.91761,0.0415666,0.000566636,0.000566636
6,6.47593,0.37462,0.49161,0.84674,1,0.86145,0.95398,0.90526,0.46843,1.19249,0.9064,0.0296749,0.000674855,0.000674855
7,7.47808,0.39578,0.52421,0.86492,0.94752,0.92588,0.97107,0.90928,0.42904,0.96497,0.88933,0.0177807,0.000780698,0.000780698
8,8.47297,0.38365,0.49199,0.8595,0.9729,0.92052,0.97593,0.91304,0.44976,0.83247,0.90758,0.00588417,0.000884165,0.000884165
9,9.48042,0.34619,0.43208,0.84026,0.97387,0.95571,0.9765,0.93307,0.37735,0.43938,0.84074,0.0009208,0.0009208,0.0009208
10,10.5382,0.36141,0.41742,0.84299,0.99353,0.92308,0.9771,0.91274,0.38448,0.46008,0.83771,0.0009109,0.0009109,0.0009109
11,11.5546,0.36783,0.43965,0.84368,0.99066,0.97436,0.98757,0.95025,0.35924,0.40162,0.83654,0.000901,0.000901,0.000901
12,12.5552,0.34603,0.37768,0.84067,0.98814,0.96154,0.99199,0.96839,0.34231,0.37555,0.84006,0.0008911,0.0008911,0.0008911
13,13.5565,0.34556,0.39737,0.85011,0.97433,0.97326,0.98925,0.96196,0.33623,0.36356,0.82595,0.0008812,0.0008812,0.0008812
14,14.5401,0.3313,0.3743,0.83541,1,0.94647,0.98482,0.94428,0.32844,0.35268,0.83262,0.0008713,0.0008713,0.0008713
15,15.526,0.35796,0.40044,0.86611,0.98683,0.9603,0.98175,0.93821,0.32623,0.34246,0.83203,0.0008614,0.0008614,0.0008614
16,16.5137,0.35163,0.38599,0.83625,0.98681,0.95932,0.98426,0.95049,0.32048,0.40454,0.82039,0.0008515,0.0008515,0.0008515
17,17.505,0.34593,0.35757,0.83685,0.98423,0.96154,0.98795,0.95579,0.31977,0.35139,0.82175,0.0008416,0.0008416,0.0008416
18,18.4966,0.33583,0.35076,0.84661,0.98682,0.96012,0.98663,0.9596,0.30674,0.31894,0.81168,0.0008317,0.0008317,0.0008317
19,19.4827,0.318,0.33384,0.82931,0.98683,0.96055,0.98386,0.96338,0.29164,0.33545,0.80749,0.0008218,0.0008218,0.0008218
20,20.4729,0.31583,0.33394,0.8299,0.98665,0.9475,0.98484,0.96629,0.27122,0.28947,0.80096,0.0008119,0.0008119,0.0008119
21,21.4608,0.33057,0.35354,0.81059,0.98296,0.96154,0.98094,0.95572,0.31222,0.31355,0.80755,0.000802,0.000802,0.000802
22,22.4477,0.31388,0.32755,0.82225,1,0.94868,0.98344,0.959,0.31539,0.29238,0.82348,0.0007921,0.0007921,0.0007921
1,1.37234,0.76198,2.90555,0.98648,0.00396,0.97436,0.54784,0.37898,1.21572,3.03962,1.02921,0.08812,0.00012,0.00012
2,2.49555,0.49614,0.93892,0.83756,0.00783,0.82051,0.80537,0.6843,0.68111,3.1169,0.92355,0.0752475,0.000247525,0.000247525
3,3.58221,0.42904,0.68554,0.84192,0.28689,0.89744,0.89295,0.78444,0.68778,2.92462,0.98,0.0623725,0.000372476,0.000372476
4,4.64438,0.42103,0.58253,0.86269,0.32727,0.92308,0.92655,0.86072,0.45473,2.6572,0.90055,0.0494949,0.000494853,0.000494853
5,5.68688,0.40022,0.49822,0.84204,1,0.68571,0.95609,0.87849,0.5104,1.97921,0.92472,0.0366147,0.000614656,0.000614656
6,6.73451,0.36071,0.44887,0.83632,0.95403,0.87179,0.98478,0.91042,0.53353,0.98694,0.98027,0.0237319,0.000731885,0.000731885
7,7.78017,0.38668,0.43988,0.84285,0.91937,0.94872,0.98447,0.90046,0.48693,0.52629,0.94139,0.0108465,0.00084654,0.00084654
8,8.81806,0.34567,0.40064,0.83176,1,0.91877,0.98297,0.91098,0.40614,0.51316,0.91084,0.0009307,0.0009307,0.0009307
9,9.85983,0.32905,0.39228,0.81986,0.99994,0.97436,0.99357,0.92269,0.39247,0.47677,0.88872,0.0009208,0.0009208,0.0009208
10,10.8924,0.33736,0.37915,0.83067,0.9743,0.97196,0.98522,0.93165,0.39699,0.41594,0.90076,0.0009109,0.0009109,0.0009109
11,11.9329,0.3216,0.3638,0.85684,0.97025,0.94872,0.98243,0.92902,0.36174,0.44291,0.90354,0.000901,0.000901,0.000901
12,12.9694,0.31069,0.36108,0.83615,0.96941,0.94872,0.98728,0.92424,0.38379,0.35283,0.90732,0.0008911,0.0008911,0.0008911
13,14.0031,0.3365,0.35556,0.83916,0.97105,0.94872,0.9869,0.90295,0.39715,0.38296,0.91511,0.0008812,0.0008812,0.0008812
14,15.0334,0.29618,0.34328,0.80973,0.94926,0.97436,0.98848,0.92691,0.39857,0.30762,0.8948,0.0008713,0.0008713,0.0008713
15,16.0645,0.31883,0.33195,0.83441,0.94793,1,0.98818,0.94052,0.39144,0.34586,0.90333,0.0008614,0.0008614,0.0008614
16,17.113,0.30603,0.33379,0.82438,0.94977,0.96982,0.98944,0.93475,0.39759,0.35791,0.90596,0.0008515,0.0008515,0.0008515
17,18.147,0.29215,0.31931,0.8181,0.97464,0.98563,0.9925,0.94719,0.39415,0.3395,0.91309,0.0008416,0.0008416,0.0008416
18,19.1834,0.28121,0.3157,0.82029,0.96901,1,0.992,0.94791,0.34649,0.37284,0.89593,0.0008317,0.0008317,0.0008317
19,20.231,0.28913,0.31232,0.82301,0.96955,1,0.99375,0.93124,0.37139,0.31239,0.89472,0.0008218,0.0008218,0.0008218
20,21.2737,0.28631,0.32308,0.80839,0.94996,0.97359,0.98693,0.94644,0.39086,0.35617,0.90341,0.0008119,0.0008119,0.0008119
21,22.302,0.27778,0.2894,0.81768,0.97484,0.9934,0.9945,0.94501,0.36459,0.31983,0.90784,0.000802,0.000802,0.000802
22,23.3325,0.27797,0.29533,0.80502,0.94862,1,0.99274,0.94735,0.35667,0.29458,0.90269,0.0007921,0.0007921,0.0007921
23,24.3762,0.27597,0.29941,0.82124,0.94733,1,0.99159,0.96047,0.34467,0.30615,0.8862,0.0007822,0.0007822,0.0007822
24,25.4275,0.26869,0.27859,0.80975,0.95102,1,0.99375,0.95417,0.34255,0.27691,0.87646,0.0007723,0.0007723,0.0007723
25,26.4623,0.26773,0.2886,0.81186,0.97195,1,0.9945,0.94749,0.33957,0.27771,0.87853,0.0007624,0.0007624,0.0007624
26,27.4955,0.26699,0.28487,0.80864,0.98223,1,0.995,0.95243,0.30901,0.27815,0.83893,0.0007525,0.0007525,0.0007525
27,28.5297,0.2618,0.28437,0.81508,0.97321,1,0.9925,0.9471,0.27502,0.29662,0.81153,0.0007426,0.0007426,0.0007426
28,29.5761,0.27426,0.29896,0.81689,0.97358,1,0.992,0.95547,0.30429,0.27567,0.8382,0.0007327,0.0007327,0.0007327
29,30.6145,0.27253,0.27821,0.81042,0.97499,0.99978,0.9925,0.96104,0.29282,0.28533,0.84655,0.0007228,0.0007228,0.0007228
30,31.655,0.26323,0.27712,0.82251,0.97499,0.9996,0.9945,0.9542,0.31962,0.2856,0.86944,0.0007129,0.0007129,0.0007129
31,32.6904,0.26803,0.28128,0.81392,0.97497,0.99867,0.9945,0.95226,0.34044,0.2869,0.88671,0.000703,0.000703,0.000703
32,33.7248,0.24577,0.26002,0.81626,0.97483,0.99328,0.992,0.95502,0.29499,0.27172,0.84257,0.0006931,0.0006931,0.0006931
33,34.7576,0.24451,0.26815,0.8031,0.97429,0.97171,0.99058,0.94272,0.31415,0.26889,0.8587,0.0006832,0.0006832,0.0006832
34,35.7901,0.25199,0.27259,0.81147,0.97102,0.97436,0.98977,0.93674,0.31666,0.25625,0.85481,0.0006733,0.0006733,0.0006733
35,36.8379,0.25201,0.27637,0.81872,0.97489,0.99554,0.992,0.93316,0.30054,0.26625,0.84377,0.0006634,0.0006634,0.0006634
36,37.8809,0.23683,0.25858,0.80224,0.94554,1,0.99072,0.94839,0.29727,0.26263,0.84793,0.0006535,0.0006535,0.0006535
37,38.9109,0.26085,0.27489,0.82153,0.97483,0.99331,0.992,0.94767,0.32072,0.23926,0.85663,0.0006436,0.0006436,0.0006436
38,39.9423,0.2514,0.26724,0.81934,0.97499,0.99946,0.99325,0.95474,0.31177,0.26004,0.84887,0.0006337,0.0006337,0.0006337
39,40.9751,0.25584,0.2611,0.80874,0.97427,0.97116,0.9928,0.95028,0.31612,0.24099,0.85675,0.0006238,0.0006238,0.0006238
1,1.36434,0.76198,2.90555,0.98648,0.00396,0.97436,0.54784,0.37898,1.21572,3.03962,1.02921,0.08812,0.00012,0.00012
2,2.52354,0.49614,0.93892,0.83756,0.00783,0.82051,0.80537,0.6843,0.68111,3.1169,0.92355,0.0752475,0.000247525,0.000247525
3,3.58621,0.42904,0.68554,0.84192,0.28689,0.89744,0.89295,0.78444,0.68778,2.92462,0.98,0.0623725,0.000372476,0.000372476
4,4.63874,0.42103,0.58253,0.86269,0.32727,0.92308,0.92655,0.86072,0.45473,2.6572,0.90055,0.0494949,0.000494853,0.000494853
5,5.68163,0.40022,0.49822,0.84204,1,0.68571,0.95609,0.87849,0.5104,1.97921,0.92472,0.0366147,0.000614656,0.000614656
6,6.73072,0.36071,0.44887,0.83632,0.95403,0.87179,0.98478,0.91042,0.53353,0.98694,0.98027,0.0237319,0.000731885,0.000731885
7,7.75933,0.38668,0.43988,0.84285,0.91937,0.94872,0.98447,0.90046,0.48693,0.52629,0.94139,0.0108465,0.00084654,0.00084654
8,8.80057,0.34567,0.40064,0.83176,1,0.91877,0.98297,0.91098,0.40614,0.51316,0.91084,0.0009307,0.0009307,0.0009307
9,9.83555,0.32905,0.39228,0.81986,0.99994,0.97436,0.99357,0.92269,0.39247,0.47677,0.88872,0.0009208,0.0009208,0.0009208
10,10.8719,0.33736,0.37915,0.83067,0.9743,0.97196,0.98522,0.93165,0.39699,0.41594,0.90076,0.0009109,0.0009109,0.0009109
11,11.9048,0.3216,0.3638,0.85684,0.97025,0.94872,0.98243,0.92902,0.36174,0.44291,0.90354,0.000901,0.000901,0.000901
12,12.9378,0.31069,0.36108,0.83615,0.96941,0.94872,0.98728,0.92424,0.38379,0.35283,0.90732,0.0008911,0.0008911,0.0008911
13,13.9662,0.3365,0.35556,0.83916,0.97105,0.94872,0.9869,0.90295,0.39715,0.38296,0.91511,0.0008812,0.0008812,0.0008812
14,14.9933,0.29618,0.34328,0.80973,0.94926,0.97436,0.98848,0.92691,0.39857,0.30762,0.8948,0.0008713,0.0008713,0.0008713
15,16.0169,0.31883,0.33195,0.83441,0.94793,1,0.98818,0.94052,0.39144,0.34586,0.90333,0.0008614,0.0008614,0.0008614
16,17.0575,0.30603,0.33379,0.82438,0.94977,0.96982,0.98944,0.93475,0.39759,0.35791,0.90596,0.0008515,0.0008515,0.0008515
17,18.0852,0.29215,0.31931,0.8181,0.97464,0.98563,0.9925,0.94719,0.39415,0.3395,0.91309,0.0008416,0.0008416,0.0008416
18,19.121,0.28121,0.3157,0.82029,0.96901,1,0.992,0.94791,0.34649,0.37284,0.89593,0.0008317,0.0008317,0.0008317
19,20.1644,0.28913,0.31232,0.82301,0.96955,1,0.99375,0.93124,0.37139,0.31239,0.89472,0.0008218,0.0008218,0.0008218
20,21.2033,0.28631,0.32308,0.80839,0.94996,0.97359,0.98693,0.94644,0.39086,0.35617,0.90341,0.0008119,0.0008119,0.0008119
21,22.2312,0.27778,0.2894,0.81768,0.97484,0.9934,0.9945,0.94501,0.36459,0.31983,0.90784,0.000802,0.000802,0.000802
22,23.2569,0.27797,0.29533,0.80502,0.94862,1,0.99274,0.94735,0.35667,0.29458,0.90269,0.0007921,0.0007921,0.0007921
23,24.2865,0.27597,0.29941,0.82124,0.94733,1,0.99159,0.96047,0.34467,0.30615,0.8862,0.0007822,0.0007822,0.0007822
24,25.3336,0.26869,0.27859,0.80975,0.95102,1,0.99375,0.95417,0.34255,0.27691,0.87646,0.0007723,0.0007723,0.0007723
25,26.3634,0.26773,0.2886,0.81186,0.97195,1,0.9945,0.94749,0.33957,0.27771,0.87853,0.0007624,0.0007624,0.0007624
26,27.3932,0.26699,0.28487,0.80864,0.98223,1,0.995,0.95243,0.30901,0.27815,0.83893,0.0007525,0.0007525,0.0007525
27,28.4184,0.2618,0.28437,0.81508,0.97321,1,0.9925,0.9471,0.27502,0.29662,0.81153,0.0007426,0.0007426,0.0007426
28,29.4608,0.27426,0.29896,0.81689,0.97358,1,0.992,0.95547,0.30429,0.27567,0.8382,0.0007327,0.0007327,0.0007327
29,30.4925,0.27253,0.27821,0.81042,0.97499,0.99978,0.9925,0.96104,0.29282,0.28533,0.84655,0.0007228,0.0007228,0.0007228
30,31.5339,0.26323,0.27712,0.82251,0.97499,0.9996,0.9945,0.9542,0.31962,0.2856,0.86944,0.0007129,0.0007129,0.0007129
31,32.564,0.26803,0.28128,0.81392,0.97497,0.99867,0.9945,0.95226,0.34044,0.2869,0.88671,0.000703,0.000703,0.000703
32,33.6033,0.24577,0.26002,0.81626,0.97483,0.99328,0.992,0.95502,0.29499,0.27172,0.84257,0.0006931,0.0006931,0.0006931
33,34.6285,0.24451,0.26815,0.8031,0.97429,0.97171,0.99058,0.94272,0.31415,0.26889,0.8587,0.0006832,0.0006832,0.0006832
34,35.6564,0.25199,0.27259,0.81147,0.97102,0.97436,0.98977,0.93674,0.31666,0.25625,0.85481,0.0006733,0.0006733,0.0006733
35,36.6881,0.25201,0.27637,0.81872,0.97489,0.99554,0.992,0.93316,0.30054,0.26625,0.84377,0.0006634,0.0006634,0.0006634
36,37.7242,0.23683,0.25858,0.80224,0.94554,1,0.99072,0.94839,0.29727,0.26263,0.84793,0.0006535,0.0006535,0.0006535
37,38.7508,0.26085,0.27489,0.82153,0.97483,0.99331,0.992,0.94767,0.32072,0.23926,0.85663,0.0006436,0.0006436,0.0006436
38,39.7817,0.2514,0.26724,0.81934,0.97499,0.99946,0.99325,0.95474,0.31177,0.26004,0.84887,0.0006337,0.0006337,0.0006337
39,40.8108,0.25584,0.2611,0.80874,0.97427,0.97116,0.9928,0.95028,0.31612,0.24099,0.85675,0.0006238,0.0006238,0.0006238
1,0.539543,1.19508,3.82617,1.27231,0.00444,0.85714,0.00891,0.00585,1.16599,3.40442,1.45242,0.09901,1e-05,1e-05
2,0.914931,1.00472,3.59882,1.21075,0.00407,0.78571,0.0084,0.00548,1.19245,3.39998,1.47001,0.0970297,2.9703e-05,2.9703e-05
3,1.26044,1.06635,3.62245,1.23287,0.00481,0.92857,0.02571,0.0185,1.1426,3.26276,1.46901,0.095049,4.901e-05,4.901e-05
