epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.61602,0.93531,2.1295,4.40272,1.13478,0,0,0,0,0,0,0,0,0.45554,3.81842,3.94272,0.84683,0.09505,5e-05,5e-05
2,4.5627,0.79902,1.84447,3.95645,1.01645,0.02349,0.25952,0.047,0.03959,0.01737,0.14206,0.02164,0.0114,1.22127,42.7555,3.58361,1.16565,0.0891089,0.000108911,0.000108911
3,7.54667,0.76356,1.27437,3.5416,0.9656,0.00261,0.23571,0.05298,0.03796,0.00181,0.11429,0.03972,0.01149,1.43892,50.0621,3.62028,1.30422,0.0831666,0.000166634,0.000166634
4,10.5079,0.77422,1.16159,3.36505,0.96829,0.05089,0.24841,0.05795,0.04857,0.00039,0.01587,0.00028,0.00014,1.33776,64.3171,3.55883,1.16745,0.0772232,0.000223169,0.000223169
5,13.4518,0.74592,1.01565,3.29548,0.9595,0.002,0.23413,0.03084,0.02131,0.00045,0.03175,0.00061,0.00018,1.27324,47.231,3.66213,1.11421,0.0712785,0.000278516,0.000278516
6,16.4269,0.70065,0.94905,3.13136,0.94355,0.00109,0.23413,0.02392,0.01746,0.00056,0.11508,0.00939,0.0028,1.03173,29.3666,3.67383,1.00115,0.0653327,0.000332675,0.000332675
7,19.3834,0.73299,0.978,3.11142,0.96934,0.00146,0.23413,0.02048,0.01557,0.00155,0.2381,0.0133,0.00641,0.87669,20.2014,3.69628,0.97392,0.0593856,0.000385646,0.000385646
8,22.3135,0.74302,0.95104,3.00543,0.96391,0.00228,0.23413,0.0284,0.02189,0.00158,0.16667,0.01315,0.00329,0.88585,21.39,3.66574,0.96983,0.0534374,0.000437429,0.000437429
9,25.2465,0.74348,0.88497,2.94327,0.95256,0.14704,0.29127,0.12894,0.11629,0.14671,0.22778,0.11541,0.07908,0.73987,9.42226,3.53639,0.90192,0.047488,0.000488024,0.000488024
10,28.2153,0.70878,0.78651,2.88628,0.9618,0.06379,0.39603,0.11409,0.10801,0.0637,0.38016,0.11025,0.07863,0.59185,3.55301,3.39169,0.83358,0.0415374,0.000537431,0.000537431
11,31.1934,0.71243,0.83678,2.84757,0.933,0.04219,0.41032,0.11493,0.10385,0.04316,0.43016,0.11435,0.08173,0.63225,2.82013,3.35805,0.83988,0.0355857,0.00058565,0.00058565
12,34.1431,0.69267,0.77071,2.77181,0.93409,0.09849,0.54365,0.15073,0.13235,0.09849,0.54365,0.14904,0.11375,0.6088,1.85607,3.28938,0.80565,0.0296327,0.000632681,0.000632681
13,37.0868,0.7166,0.80693,2.71442,0.9611,0.06631,0.68651,0.12979,0.11433,0.06631,0.68651,0.12979,0.09943,0.56597,1.34719,3.15321,0.79403,0.0236785,0.000678524,0.000678524
14,40.0447,0.75527,0.77776,2.7551,0.97661,0.08251,0.83532,0.15594,0.13875,0.084,0.87103,0.15697,0.13124,0.52667,1.11263,2.98317,0.8025,0.0177232,0.000723179,0.000723179
15,43.0259,0.77505,0.7982,2.68309,0.98336,0.07501,0.90278,0.14802,0.13504,0.07501,0.90278,0.14802,0.12681,0.49602,0.99574,2.90406,0.79925,0.0117666,0.000766646,0.000766646
16,45.9819,0.73231,0.76096,2.62818,0.94729,0.06756,0.96825,0.13419,0.1237,0.06696,0.92063,0.13324,0.1178,0.47345,0.86677,2.85216,0.79172,0.00580892,0.000808925,0.000808925
17,48.9309,0.73045,0.76292,2.58581,0.95683,0.06388,0.96825,0.13609,0.12296,0.06323,0.92063,0.13505,0.11694,0.50303,0.85467,2.82755,0.80701,0.0008416,0.0008416,0.0008416
18,51.8861,0.71942,0.84464,2.58631,0.94387,0.0519,0.90278,0.12506,0.10566,0.0519,0.90278,0.12506,0.10317,0.58528,1.07787,2.80535,0.83318,0.0008317,0.0008317,0.0008317
19,54.8358,0.683,0.70996,2.51715,0.95197,0.05516,0.90278,0.12213,0.10673,0.05516,0.90278,0.12213,0.0992,0.58464,1.04385,2.79306,0.83159,0.0008218,0.0008218,0.0008218
20,57.8223,0.7053,0.82243,2.51581,0.94843,0.0572,0.9504,0.13118,0.11843,0.0572,0.9504,0.13087,0.11689,0.50525,0.89249,2.72691,0.81222,0.0008119,0.0008119,0.0008119
21,60.7336,0.67363,0.7555,2.4802,0.93997,0.05805,0.96627,0.13051,0.11742,0.05805,0.96627,0.13022,0.1147,0.53794,0.88902,2.69465,0.82162,0.000802,0.000802,0.000802
22,63.7507,0.69534,0.71771,2.45844,0.95374,0.05657,0.93651,0.12868,0.11468,0.05562,0.96627,0.12839,0.10567,0.5286,0.98899,2.67039,0.81765,0.0007921,0.0007921,0.0007921
23,66.6799,0.70301,0.76138,2.45618,0.93794,0.05453,0.98413,0.13343,0.11957,0.05453,0.98413,0.13301,0.10778,0.49445,1.06784,2.67745,0.80666,0.0007822,0.0007822,0.0007822
24,69.6081,0.65464,0.71944,2.37732,0.91839,0.05973,0.96825,0.13707,0.12289,0.05973,0.96825,0.13668,0.11762,0.45088,0.82344,2.65802,0.79768,0.0007723,0.0007723,0.0007723
1,40.3555,0.8559,1.45304,3.45559,1.00719,0.04369,0.68231,0.0757,0.06399,0.03782,0.58951,0.0585,0.02809,0.69767,4.72795,3.23411,0.88926,0.0673882,0.000329412,0.000329412
2,74.9717,0.83411,1.171,2.83262,0.99708,0.07421,0.32391,0.08209,0.06832,0.07021,0.31197,0.0764,0.04812,0.65418,2.80688,2.5955,0.92284,0.0343817,0.000656184,0.000656184
3,113.856,0.78065,1.05419,2.58565,0.9922,0.06311,0.44141,0.07268,0.06226,0.06344,0.44223,0.07221,0.05736,0.56735,1.1704,2.50108,0.88889,0.00136851,0.000976356,0.000976356
4,151.061,0.74791,1.04777,2.48411,0.97323,0.0716,0.54877,0.08231,0.0714,0.0714,0.54584,0.08204,0.06839,0.56134,0.98697,2.41422,0.87624,0.0009703,0.0009703,0.0009703
5,188.26,0.74862,1.019,2.41727,0.9757,0.06461,0.42559,0.07332,0.0647,0.06451,0.42588,0.07291,0.0609,0.52446,0.97366,2.47708,0.88535,0.0009604,0.0009604,0.0009604
6,227.644,0.72327,0.96263,2.36418,0.96546,0.06057,0.39462,0.07854,0.06891,0.06042,0.39481,0.07785,0.06707,0.55273,0.91083,2.60285,0.89915,0.0009505,0.0009505,0.0009505
7,253.053,0.71089,0.94413,2.29511,0.95669,0.06462,0.53955,0.07703,0.06844,0.06461,0.53842,0.07718,0.06636,0.52623,0.87471,2.54317,0.88146,0.0009406,0.0009406,0.0009406
8,286.098,0.70374,0.90374,2.24473,0.95495,0.06404,0.35848,0.07755,0.06808,0.06433,0.35985,0.07734,0.06481,0.52335,0.96256,2.7819,0.88786,0.0009307,0.0009307,0.0009307
9,316.641,0.69859,0.91074,2.20148,0.95505,0.06186,0.39141,0.08125,0.07087,0.06106,0.38817,0.0808,0.06469,0.52201,0.9556,2.6723,0.87834,0.0009208,0.0009208,0.0009208
10,351.249,0.68504,0.90212,2.14393,0.94806,0.05513,0.3344,0.06393,0.05587,0.05502,0.32973,0.06384,0.05275,0.52459,0.89594,2.91045,0.88613,0.0009109,0.0009109,0.0009109
11,381.593,0.67423,0.87454,2.0748,0.94252,0.05813,0.60704,0.07028,0.06271,0.05865,0.60908,0.07083,0.05981,0.49955,0.8571,2.87681,0.86633,0.000901,0.000901,0.000901
12,410.245,0.66846,0.86715,1.99374,0.94267,0.06529,0.29841,0.08472,0.07465,0.06654,0.29749,0.08457,0.07101,0.5156,0.87158,2.82905,0.8723,0.0008911,0.0008911,0.0008911
13,440.5,0.67449,0.86231,1.94973,0.94016,0.06122,0.55117,0.07111,0.06214,0.0615,0.5494,0.07043,0.05854,0.50803,0.92537,3.0916,0.86955,0.0008812,0.0008812,0.0008812
14,465.186,0.66484,0.86348,1.85503,0.93745,0.03761,0.85523,0.06784,0.057,0.03737,0.85189,0.06732,0.05348,0.54191,0.91197,3.16116,0.89565,0.0008713,0.0008713,0.0008713
