epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.374958,1.08723,3.68558,1.02859,0.00333,1,0.07549,0.05647,0.75566,3.20987,0.9323,0,0,0
2,0.570261,1.16722,3.68636,1.18259,0.00333,1,0.05556,0.04058,0.76235,3.20737,0.93325,1.9604e-05,1.9604e-05,1.9604e-05
3,0.769391,1.29082,3.6372,1.13139,0.00333,1,0.05831,0.04083,0.76523,3.20476,0.9327,3.8416e-05,3.8416e-05,3.8416e-05
4,0.939901,1.16403,3.46113,1.14369,0.00333,1,0.0637,0.04428,0.75955,3.20748,0.94046,5.6436e-05,5.6436e-05,5.6436e-05
5,1.10992,1.07247,3.2931,1.04881,0.00333,1,0.06477,0.04602,0.75387,3.20556,0.93272,7.3664e-05,7.3664e-05,7.3664e-05
6,1.30658,1.2298,3.36557,1.09187,0.00333,1,0.16216,0.14014,0.60229,2.99364,0.79921,9.01e-05,9.01e-05,9.01e-05
7,1.51726,1.33668,3.45399,1.19218,0.00333,1,0.47332,0.46045,0.38639,2.92034,0.73259,0.000105744,0.000105744,0.000105744
8,1.7274,0.72807,2.99907,0.88082,0.00333,1,0.80056,0.7768,0.30699,2.85365,0.68675,0.000120596,0.000120596,0.000120596
9,1.93599,0.66225,2.86656,0.94283,0.00333,1,0.745,0.71171,0.36003,2.75261,0.67839,0.000134656,0.000134656,0.000134656
10,2.13829,0.85525,2.99027,0.95905,0.00333,1,0.91167,0.80387,0.45052,2.73507,0.66643,0.000147924,0.000147924,0.000147924
11,2.34724,0.62549,2.25915,0.84627,0.00333,1,0.88786,0.80935,0.43621,2.71271,0.65887,0.0001604,0.0001604,0.0001604
12,2.55917,0.74443,2.27629,0.94679,0.00333,1,0.87,0.80358,0.40605,2.67477,0.64994,0.000172084,0.000172084,0.000172084
13,2.76135,0.46995,1.89681,0.8824,0.00333,1,0.88786,0.84282,0.35231,2.6121,0.65185,0.000182976,0.000182976,0.000182976
14,2.97224,0.6784,1.64968,0.81773,0.00832,1,0.91167,0.79549,0.35089,2.55011,0.65588,0.000193076,0.000193076,0.000193076
15,3.17531,0.51758,1.61101,0.88668,1,0.70497,0.91167,0.86603,0.30441,2.4707,0.65131,0.000202384,0.000202384,0.000202384
16,3.38593,0.56095,1.27259,0.88094,1,0.56305,0.995,0.95141,0.31655,2.39874,0.65339,0.0002109,0.0002109,0.0002109
17,3.5964,0.40304,1.31245,0.79035,1,0.67603,0.995,0.92029,0.36318,2.32636,0.65483,0.000218624,0.000218624,0.000218624
18,3.79268,0.52552,1.44172,0.85985,1,0.67603,0.995,0.92029,0.36318,2.32636,0.65483,0.000225556,0.000225556,0.000225556
19,3.99474,0.543,1.21251,0.87482,1,0.83064,0.995,0.92029,0.40291,2.24531,0.65699,0.000231696,0.000231696,0.000231696
20,4.19854,0.52528,1.33631,0.82557,1,0.83064,0.995,0.92029,0.40291,2.24531,0.65699,0.000237044,0.000237044,0.000237044
21,4.3995,0.70276,1.49865,0.8781,1,0.9202,0.995,0.93254,0.39076,2.19723,0.65828,0.0002416,0.0002416,0.0002416
22,4.59516,0.43671,1.03464,0.8553,1,0.9202,0.995,0.93254,0.39076,2.19723,0.65828,0.000245364,0.000245364,0.000245364
23,4.79985,0.53067,1.8804,0.77319,1,0.92584,0.995,0.93671,0.37767,2.21512,0.65652,0.000248336,0.000248336,0.000248336
24,4.99481,0.42499,1.01607,0.80074,1,0.92584,0.995,0.93671,0.37767,2.21512,0.65652,0.000250516,0.000250516,0.000250516
25,5.19714,0.53366,1.28095,0.84144,1,0.7288,0.995,0.95753,0.34457,2.27621,0.64479,0.000251904,0.000251904,0.000251904
26,5.40112,0.49741,1.10881,0.81371,1,0.7288,0.995,0.95753,0.34457,2.27621,0.64479,0.0002525,0.0002525,0.0002525
27,5.61196,0.4774,1.06603,0.79983,1,0.73182,0.995,0.92029,0.3496,2.33823,0.64183,0.000252304,0.000252304,0.000252304
28,5.80969,0.46044,1.07447,0.78235,1,0.73182,0.995,0.92029,0.3496,2.33823,0.64183,0.000251316,0.000251316,0.000251316
29,6.01223,0.47088,1.04962,0.79995,1,0.87114,0.995,0.995,0.30455,2.41029,0.6369,0.000249536,0.000249536,0.000249536
30,6.21541,0.41433,1.09953,0.84583,1,0.87114,0.995,0.995,0.30455,2.41029,0.6369,0.000246964,0.000246964,0.000246964
31,6.42655,0.44514,1.14277,0.83142,0.92894,1,0.995,0.97003,0.27885,2.47364,0.62962,0.0002436,0.0002436,0.0002436
32,6.62508,0.39368,1.32447,0.77174,0.92894,1,0.995,0.97003,0.27885,2.47364,0.62962,0.000239444,0.000239444,0.000239444
33,6.82939,0.47768,1.26294,0.83085,0.59829,1,0.995,0.97003,0.26352,2.51683,0.62983,0.000234496,0.000234496,0.000234496
34,7.02632,0.3375,1.16087,0.8101,0.59829,1,0.995,0.97003,0.26352,2.51683,0.62983,0.000228756,0.000228756,0.000228756
35,7.23,0.43617,1.01094,0.83229,0.02175,1,0.995,0.97003,0.30183,2.53589,0.63189,0.000222224,0.000222224,0.000222224
36,7.42688,0.4077,1.11841,0.79701,0.02175,1,0.995,0.97003,0.30183,2.53589,0.63189,0.0002149,0.0002149,0.0002149
37,7.63049,0.41356,1.15288,0.83422,0.83351,1,0.995,0.93671,0.35135,2.50025,0.6341,0.000206784,0.000206784,0.000206784
38,7.82624,0.45693,1.10503,0.84433,0.83351,1,0.995,0.93671,0.35135,2.50025,0.6341,0.000197876,0.000197876,0.000197876
39,8.02783,0.42396,1.23814,0.83941,0.93085,1,0.995,0.92007,0.38387,2.46695,0.63873,0.000188176,0.000188176,0.000188176
40,8.22548,0.44054,0.97106,0.8102,0.93085,1,0.995,0.92007,0.38387,2.46695,0.63873,0.000177684,0.000177684,0.000177684
41,8.62631,0.3849,1.68317,0.70306,0.91294,1,0.995,0.94504,0.37416,2.47676,0.64142,0.0001664,0.0001664,0.0001664
42,8.86357,0.27911,1.3042,0.75192,0.91294,1,0.995,0.94504,0.37416,2.47676,0.64142,0.000154324,0.000154324,0.000154324
43,9.07536,0.43136,1.47763,0.75755,0.92717,1,0.995,0.94504,0.36192,2.48299,0.63835,0.000141456,0.000141456,0.000141456
44,9.27243,0.32237,1.29946,0.80125,0.92717,1,0.995,0.94504,0.36192,2.48299,0.63835,0.000127796,0.000127796,0.000127796
45,9.47579,0.31521,1.40537,0.79169,0.96579,1,0.995,0.94504,0.33496,2.49188,0.63526,0.000113344,0.000113344,0.000113344
46,9.67029,0.38202,1.51724,0.72868,0.96579,1,0.995,0.94504,0.33496,2.49188,0.63526,9.81e-05,9.81e-05,9.81e-05
47,9.87449,0.30996,1.43342,0.75271,1,0.97391,0.995,0.94504,0.31716,2.49388,0.63233,8.2064e-05,8.2064e-05,8.2064e-05
48,10.07,0.31035,1.50057,0.76128,1,0.97391,0.995,0.94504,0.31716,2.49388,0.63233,6.5236e-05,6.5236e-05,6.5236e-05
49,10.2744,0.28021,1.42984,0.70827,1,0.90359,0.995,0.97003,0.30744,2.47757,0.63177,4.7616e-05,4.7616e-05,4.7616e-05
50,10.4723,0.30976,1.38763,0.74927,1,0.90359,0.995,0.97003,0.30744,2.47757,0.63177,2.9204e-05,2.9204e-05,2.9204e-05
