epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.40611,1.04215,2.40265,3.7289,1.15987,0.01627,0.36858,0.06456,0.02884,0,0,0,0,1.88469,161.258,3.12594,1.8511,0.08614,0.00014,0.00014
2,14.191,0.98794,1.76489,1.55641,1.05993,0.26254,0.14804,0.11712,0.05119,0.0008,0.01813,0.00041,8e-05,2.72681,24.5813,2.76614,2.24666,0.0712871,0.000287129,0.000287129
3,20.9807,0.85435,1.52509,1.26689,1.01316,0.65851,0.23304,0.34717,0.21906,0.35003,0.12387,0.11687,0.03153,1.69656,8.75904,2.03904,1.29669,0.0564313,0.000431288,0.000431288
4,27.9832,0.81126,1.37993,1.05059,0.99688,0.85812,0.60302,0.74227,0.59395,0.83624,0.58626,0.70148,0.43621,0.77294,3.00204,1.46423,0.87861,0.0415725,0.000572477,0.000572477
5,34.758,0.8408,1.35602,1.00211,1.00729,0.91724,0.80361,0.88469,0.76216,0.89632,0.78354,0.84568,0.61641,0.59492,1.94322,1.05475,0.81582,0.0267107,0.000710696,0.000710696
6,41.6822,0.78273,1.21853,0.87225,0.98686,0.91842,0.81631,0.89911,0.75658,0.91574,0.78798,0.87821,0.64862,0.61696,1.57011,0.91541,0.84258,0.0118459,0.000845945,0.000845945
7,48.7063,0.83202,1.30292,0.97326,1.02023,0.90619,0.86405,0.9051,0.7794,0.90302,0.86103,0.90381,0.73923,0.55452,1.10254,0.73033,0.83254,0.0009406,0.0009406,0.0009406
8,55.4246,0.75332,1.19907,0.80891,0.97682,0.93952,0.85498,0.90851,0.79793,0.9431,0.85122,0.90876,0.75858,0.54947,0.9908,0.64897,0.83285,0.0009307,0.0009307,0.0009307
9,62.0862,0.76901,1.24793,0.81109,0.986,0.95305,0.83686,0.9181,0.79168,0.94961,0.83384,0.91409,0.72669,0.53576,1.18206,0.6735,0.84769,0.0009208,0.0009208,0.0009208
10,68.7617,0.76255,1.16044,0.81284,0.9894,0.94061,0.86133,0.91953,0.78997,0.94982,0.85774,0.9205,0.73339,0.55067,1.26889,0.7002,0.85578,0.0009109,0.0009109,0.0009109
11,75.5003,0.75001,1.15649,0.76477,0.9772,0.9607,0.8429,0.92107,0.79443,0.91372,0.89588,0.92906,0.76608,0.55483,0.91428,0.67966,0.85956,0.000901,0.000901,0.000901
12,82.2649,0.73086,1.18328,0.75921,0.98061,0.8979,0.87678,0.91746,0.80319,0.90406,0.88218,0.91961,0.7589,0.5002,0.98021,0.65729,0.84509,0.0008911,0.0008911,0.0008911
13,89.0707,0.73458,1.10584,0.73583,0.97253,0.92367,0.87009,0.91576,0.78127,0.92687,0.87311,0.9112,0.73825,0.56407,1.17322,0.6831,0.85294,0.0008812,0.0008812,0.0008812
14,95.9472,0.75778,1.24849,0.7658,0.98797,0.94884,0.84592,0.92109,0.82054,0.94884,0.84592,0.9216,0.77402,0.48514,0.96014,0.66411,0.84307,0.0008713,0.0008713,0.0008713
